,,plain positive,,plain negative,,polite positive,,polite negative,,plain potential positive,
"deceive, lie",1,"偽る
いつわる",itsuwaru,,,,,,,,

"decide, choose",2,決める,kimeru,,,,,,,,

"decide, establish",2,"定める
さだめる",sadameru,,,,,,,,

"decorate, display",1,"飾る
かざる",kazaru,,,,,,,,

"decrease, reduce",1,減る,heru,,,,,,,,

defeat,1,"負かす
まかす",makasu,,,,,,,,

depend on,1,,tayoru,,,,,,,,

"depend on, be based on",1,,yoru,,,,,,,,

describe,1,"言い表す
いいあらわす",iiarawasu,,,,,,,,

"destroy, break down",1,"崩す
くずす",kuzusu,,,,,,,,

"destroy, ruin",1,"滅ぼす
ほろぼす",horobosu,,,,,,,,

die,1,"死ぬ
しぬ",shinu,,,,,,,,

dig,1,"掘る
ほる",horu,,,,,,,,

Discuss,1,"話し合う
はなしあう",hanashiau,,,,,,,,

"dislike, hate",1,"嫌がる
いやがる",iyagaru,,,,,,,,

"divide, break",1,,waru,,,,,,,,

"divide, separate",2,,wakeru,,,,,,,,

"do, give",1,やる,yaru,,,,,,,,

"do, make",1,する,suru,,,,,,,,

"doubt, suspect",1,,utagau,,,,,,,,

drink,1,"飲む
のむ",nomu,,,,,,,,

dry,1,"乾かす
かわかす",kawakasu,,,,,,,,

"dry, air",1,"干す
ほす",hosu,,,,,,,,

eat,2,"食べる
たべる",taberu,,,,,,,,

edge forward,1,,nijiru,,,,,,,,

"embrace, hug",1,"抱く
だく",daku,,,,,,,,

encourage,1,"励ます
はげます",hagemasu,,,,,,,,

end,1,"終わる
おわる",owaru,,,,,,,,

"enjoy, have fun",1,"楽しむ
たのしむ",tanoshimu,,,,,,,,

enter,1,"入る
はいる",hairu,,,,,,,,

"excel, be excellent, be superior",2,"優れる
すぐれる",sugureru,,,,,,,,

exchange,2,"取り換える
とりかえる",torikaeru,,,,,,,,

"extract, take out",1,"出す
だす",dasu,,,,,,,,

"face, turn/head toward",1,"向かう
むかう",mukau,,,,,,,,

fall asleep,1,"眠る
ねむる",nemuru,,,,,,,,

fall down,1,"転ぶ
ころぶ",korobu,,,,,,,,

"fall down, collapse",2,"倒れる
たおれる",taoreru,,,,,,,,

fall forward,1,,nomeru,,,,,,,,

fall from the sky,1,"降る
ふる",furu,,,,,,,,

fall in love,2,"惚れる
ほれる",horeru,,,,,,,,

"fall, drop, hang",1,"下がる
さがる",sagaru,,,,,,,,

"fall, fail, go down",2,"落ちる
おちる",ochiru,,,,,,,,

"fall, scatter",1,"散る
ちる",chiru,,,,,,,,

"fart, expel (from body)",1,,hiru,,,,,,,,

fear,1,"怖がる
こわがる",kowagaru,,,,,,,,

"fear, be in awe of",2,"恐れる
おそれる",osoreru,,,,,,,,

feel depressed,1,,meiru,,,,,,,,

"feel depressed, sink",1,"沈む
しずむ",shizumu,,,,,,,,

"feel, sense",2,"感じる
かんじる",kanjiru,,,,,,,,

fiddle with,1,,ijiru,,,,,,,,

"fight against, struggle against",1,,tatakau,,,,,,,,

find,2,"見つける
みつける",mitsukeru,,,,,,,,

"finish, tidy up",2,"片付ける
かたづける",katazukeru,,,,,,,,

fish,1,"釣る
つる",tsuru,,,,,,,,

flatter,1,,omoneru,,,,,,,,

"float, come to mind",1,,ukabu,,,,,,,,

"flow, be called off",2,"流れる
ながれる",nagareru,,,,,,,,

"flush, feel hot",1,,hoteru,,,,,,,,

fold,1,"畳む
たたむ",tatamu,,,,,,,,

forget,2,"忘れる
わすれる",wasureru,,,,,,,,

"forgive, allow, approve",1,,yurusu,,,,,,,,

"form a line, equal",1,"並ぶ
ならぶ",narabu,,,,,,,,

"gather, assemble",1,"集まる
あつまる",atsumaru,,,,,,,,

"gather, collect",2,"集める
あつめる",atsumeru,,,,,,,,

"gaze, look up, respect, fan oneself",1,"仰ぐ
あおぐ",aogu,,,,,,,,

get,2,"得る
える",eru,,,,,,,,

get angry,1,"怒る
おこる",okoru,,,,,,,,

get changed,2,"着換える
きかえる",kikaeru,,,,,,,,

get cloudy,1,"曇る
くもる",kumoru,,,,,,,,

"get drunk, sea sick",1,,you,,,,,,,,

"get fat, grow fertile / cross over, exceed",2,こえる,koeru,,,,,,,,

"get fat, put on weight",1,"太る
ふとる",futoru,,,,,,,,

"get off, go down",2,"降りる
おりる",oriru,,,,,,,,

get tired,2,"疲れる
つかれる",tsukareru,,,,,,,,

get up,2,"起きる
おきる",okiru,,,,,,,,

"get used to, adapt to",1,"馴染む
なじむ",najimu,,,,,,,,

"get used to, become familiar with",2,"慣れる
なれる",nareru,,,,,,,,

"get warm, warm up",1,"暖まる
あたたまる",atatamaru,,,,,,,,

give,2,"あげる
あげる",ageru,,,,,,,,

give (the giver is not the speaker),2,"呉れる
くれる",kureru,,,,,,,,

"give back, return (something to someone)",1,"返す
かえす",kaesu,,,,,,,,

"glare at, keep an eye on",1,"睨む
にらむ",niramu,,,,,,,,

"gnaw, nibble",2,"齧る
かじる",kajiru,,,,,,,,

go,1,"行く
いく",iku,,,,,,,,

"go forward, advance",1,"進む
すすむ",susumu,,,,,,,,

"go mad, be out of order",1,"狂う
くるう",kuruu,,,,,,,,

go out,2,"出る
でる",deru,,,,,,,,

"go out, leave home",2,"出かける
でかける",dekakeru,,,,,,,,

go round,1,"回る
まわる",mawaru,,,,,,,,

"go up, rise",1,"上がる
あがる",agaru,,,,,,,,

"gouge, scoop",1,,kujiru,,,,,,,,

"gouge, wrench",1,,kojiru,,,,,,,,

grasp,1,"握る
にぎる",nigiru,,,,,,,,

"grasp, grab",1,,tsukamu,,,,,,,,

"greet, meet, welcome",2,"迎える
むかえる",mukaeru,,,,,,,,

"grip, strangle",1,,kubiru,,,,,,,,

grow dark (sunset),2,"暮れる
くれる",kureru,,,,,,,,

grow quiet,1,"静まる
しずまる",shizumaru,,,,,,,,

grow thick,1,,shigeru,,,,,,,,

"grow up, be raised",1,"育つ
そだつ",sodatsu,,,,,,,,

grumble,1,,guchiru,,,,,,,,

gush,1,,tobashiru,,,,,,,,

"gush, spurt",1,,hotobashiru,,,,,,,,

