,,plain positive,,plain negative,,polite positive,,polite negative,,plain potential positive,
"to rear, to bring up",2,"育てる
そだてる",sodateru,,,,,,,,

"top, exceed",1,,uwamawaru,,,,,,,,

"torment, bully",2,"虐める
いじめる",ijimeru,,,,,,,,

"torment, roast",1,,ibiru,,,,,,,,

touch,2,"触れる
ふれる",fureru,,,,,,,,

touch or feel (with hands),1,"触る
さわる",sawaru,,,,,,,,

transit,2,"乗り換える
のりかえる",norikaeru,,,,,,,,

traverse,1,,yokogiru,,,,,,,,

trick,1,"騙す
だます",damasu,,,,,,,,

"turn off, erase",1,"消す
けす",kesu,,,,,,,,

"turn on, light",2,"点ける
つける",tsukeru,,,,,,,,

"turn over, wave",1,,hirugaeru,,,,,,,,

"turn, bend",1,"曲がる
まがる",magaru,,,,,,,,

twist,1,捩じる,nejiru,,,,,,,,

"twist, distort",1,,yojiru,,,,,,,,

understand,1,"分かる
わかる",wakaru,,,,,,,,

undulate,1,,uneru,,,,,,,,

"unite, put together",1,"組む
くむ",kumu,,,,,,,,

untie,1,"解く
ほどく",hodoku,,,,,,,,

"use, operate",1,"使う
つかう",tsukau,,,,,,,,

"vanish, go out, be extinguished",2,"消える
きえる",kieru,,,,,,,,

wait,1,"待つ
まつ",matsu,,,,,,,,

wake (somebody) up,1,"起こす
おこす",okosu,,,,,,,,

walk,1,"歩く
あるく",aruku,,,,,,,,

"want, desire",1,"欲しがる
ほしがる",hoshigaru,,,,,,,,

wash,1,"洗う
あらう",arau,,,,,,,,

"watch, view",2,"眺める
ながめる",nagameru,,,,,,,,

wear,2,"着る
きる",kiru,,,,,,,,

"wear (on your head), put on",1,"被る
かぶる",kaburu,,,,,,,,

win,1,勝つ,katsu,,,,,,,,

wither,2,"枯れる
かれる",kareru,,,,,,,,

work,1,"働く
はたらく",hataraku,,,,,,,,

work for,2,"勤める
つとめる",tsutomeru,,,,,,,,

"worry about, consider",1,"気遣う
きづかう",kizukau,,,,,,,,

worship,1,"祀る
まつる",matsuru,,,,,,,,

"wound, damage, harm",2,"傷つける
きずつける",kizutsukeru,,,,,,,,

wrap,1,"包む
つつむ",tsutsumu,,,,,,,,

wrench,1,,mogiru,,,,,,,,

wriggle,1,,sujiru,,,,,,,,

write,1,"書く
かく",kaku,,,,,,,,
